id A
CN06-028 39.0667332430566
CN06-118 39.8187250928384
CN06-119 34.4180556628545
CN06-120 38.6319521727475
CN07-008 41.5641952654399
CN07-010 37.5800089880153
CN07-097 35.3660366559752
CN06-041 38.6758715142058
CN06-043 39.1908711520498
CN06-065 39.038244360348
CN06-048 34.0932017640511
CN06-087 33.1781605519182
CN06-049 38.9368882698346
CN06-182 38.2025017913606
CN06-183 36.1057293315704
CN06-190 38.3548433238849
CN06-191 39.1584898600452
CN06-054 38.9217838221993
CN06-068 38.9633948830261
CN06-105 44.9249533871181
CN06-106 40.5601220192086
CN06-111 36.5930264197545
CN06-164 41.9545884981468
CN06-171 38.3019556945483
CN06-173 42.2003235233708
CN07-041 42.9981120058703
CN07-075 38.8815411696479
CN07-115 41.1051756094299
CN07-126 37.5237543365361
CN07-127 37.7332274087313
CN06-059 33.2601459950058
CN06-178 37.4522917248686
CN06-179 37.2921953845327
CN06-187 38.4915823919366
CN06-060 40.7499213653221
CN06-066 38.7310076440178
CN06-067 38.2325206169674
CN06-069 39.1189880538457
CN06-147 33.034785309177
CN06-214 36.9365188514282
CN06-073 36.5936275331899
CN06-172 39.7702171893934
CN06-184 33.6831981592564
CN06-211 37.831724800686
CN06-215 38.1493340654375
CN07-037 39.2474603662981
CN07-039 39.019479464156
CN07-122 38.2768938906221
CN07-131 38.1842237324227
CN07-132 38.0035579985835
CN07-135 37.8346958725682
CN07-185 38.3399211703425
CN06-074 38.5768826380782
CN06-075 38.7378397320259
CN06-166 36.156316702666
CN06-174 38.5862125001988
CN06-078 38.9214869885708
CN06-165 45.380758132109
CN06-167 35.5537213678668
CN06-169 36.5189960890507
CN06-107 38.3984249946896
CN06-145 36.1167151014708
CN06-177 39.1075993043105
CN06-208 39.3401167253628
CN06-213 38.9157755868793
CN06-082 38.5767435281557
CN06-175 42.6902829589924
CN06-180 34.1926177610423
CN06-186 38.0726778144445
CN06-089 39.0178374939761
CN06-090 37.3521265258175
CN06-123 36.1728071476991
CN06-092 36.764357047857
CN06-096 38.6309406144815
CN06-098 38.4924022270826
CN06-168 38.8869226309886
CN06-170 38.1162702014605
CN06-176 38.9610751753744
CN06-100 38.1473955430135
CN06-109 32.8544868667216
CN06-110 36.3758726779058
CN06-102 34.9621630792452
CN06-113 38.3437833838602
CN06-133 37.5777506155405
CN06-200 37.3689105871233
CN06-201 39.3555896257584
CN06-115 35.7744620385078
CN06-128 37.5211914864265
CN06-116 33.3630776983918
CN06-117 38.5242463666232
CN06-152 40.0396814164554
CN06-160 35.0419005442143
CN06-121 34.6267500612638
CN06-124 40.5221921677348
CN06-134 38.4543912046774
CN06-135 39.3840502261096
CN06-127 41.0017643558975
CN06-136 34.0510116600013
CN06-195 38.7642167918199
CN06-129 34.4512221250762
CN07-100 38.6501668636004
CN07-152 37.7867336752412
CN07-153 38.527970450744
CN07-156 38.2213497709351
CN07-164 38.0469468113288
CN07-165 37.9918956871044
CN06-130 38.7792481666205
CN06-141 41.4946623745464
CN06-198 37.9130660577393
CN06-137 46.7787878421053
CN06-138 41.4042446914486
CN06-140 39.0220134425128
CN06-142 38.4214420167211
CN06-146 36.7106410805116
CN06-143 34.0520096092598
CN06-209 38.2055455006443
CN06-151 42.0408661277916
CN06-153 38.1567749568118
CN06-154 37.6546430252188
CN06-161 38.7239874373825
CN06-162 37.7111757653381
CN06-155 35.3036074645408
CN07-143 38.3245154037681
CN07-144 38.4660679933275
CN06-157 40.2139127277629
CN06-159 37.7619700689892
CN06-203 37.4864234947054
CN06-207 38.2375670354281
CN06-181 38.141474041429
CN06-188 35.5967946523535
CN06-192 38.2443050737779
CN06-189 38.044119976041
CN06-222 37.6893067005514
CN06-196 41.272525036588
CN06-197 38.9317647775645
CN06-206 38.1771330011125
CN06-210 38.2062848051375
CN07-009 40.1729716681164
CN07-047 41.7914517047471
CN07-145 37.4698452215513
CN07-015 41.3117473850922
CN07-073 40.88187168117
CN07-082 39.1247599354713
CN07-130 38.7108687014952
CN07-016 36.4028242750322
CN07-017 39.6837847579227
CN07-019 39.3122306910373
CN07-020 39.4293988181461
CN07-026 39.1510163990267
CN07-028 40.2760285287836
CN07-109 36.5802521042608
CN07-160 37.6445006069476
CN07-027 39.2847829546347
CN07-029 46.1366505697655
CN07-030 40.7027021141236
CN07-072 38.9694913677577
CN07-081 38.8316998957025
CN07-032 39.2068416744527
CN07-069 39.0082327032348
CN07-035 35.6718232669858
CN07-065 40.1398950811831
CN07-178 39.8016271465026
CN07-036 42.3111772018661
CN07-077 43.2894483565077
CN07-078 39.9625919456611
CN07-096 42.5786671135067
CN07-038 39.012247154007
CN07-040 39.3093361225856
CN07-123 38.6645505013895
CN07-133 38.7724855296626
CN07-134 38.901611498778
CN07-044 39.0245821773664
CN07-106 39.0913030509367
CN07-108 38.8065312551599
CN07-142 38.3201823673605
CN07-169 37.5387863167863
CN07-170 37.5872690624759
CN07-048 38.4529195953275
CN07-088 37.8138491721028
CN07-095 39.5493366512972
CN07-140 39.5512140192999
CN07-141 39.1933377658962
CN07-151 38.9046814992086
CN08-017 38.5264150545336
CN07-050 42.6540177805958
CN07-086 38.0119341459717
CN07-148 38.3632773670602
CN07-149 40.4813363835072
CN08-038 36.9045132687719
CN07-051 40.3889851655482
CN07-052 39.0037567465107
CN07-053 38.927877750363
CN07-089 38.8142776614247
CN08-043 39.0651844692737
CN08-044 35.4494390064892
CN08-097 38.3940147513989
CN07-055 45.6929888288893
CN07-057 36.574573590601
CN07-087 39.7390285746796
CN07-107 36.6042619355147
CN07-060 39.7548617937413
CN07-062 36.4699600757767
CN07-101 38.3041565681763
CN07-102 37.1093650302385
CN07-103 39.1390012114064
CN07-173 38.4411886723338
CN07-175 38.6161299863668
CN07-067 39.3531944853572
CN07-116 35.9298381650498
CN07-117 38.9833751788505
CN08-025 39.2053888276793
CN08-080 37.8871282869205
CN07-068 38.9496659610063
CN07-119 38.0308695109877
CN07-183 37.9305520080921
CN07-071 45.5138005568199
CN07-113 34.3667253803306
CN07-114 41.2654788796988
CN07-138 40.2253513570542
CN07-187 38.0382635274779
CN07-079 38.7533966340318
CN07-080 33.8193372446954
CN07-124 37.6038215966352
CN07-125 37.1999076904668
CN07-136 38.4698105327129
CN07-137 39.8769304754526
CN07-083 38.5664591278977
CN07-084 39.4662444500671
CN07-091 39.0636923051042
CN07-093 37.184863813916
CN07-094 35.7967029399527
CN07-098 40.4084734251676
CN07-158 38.0529440489383
CN07-099 37.4988997192575
CN07-157 37.8390937940401
CN07-166 38.4976536827064
CN07-105 38.7863619559424
CN07-112 37.9642284639016
CN07-177 38.5632291082439
CN08-046 32.8365498702776
CN08-096 38.7069503888356
CN08-101 38.0950607129942
CN07-120 37.7150793837502
CN07-182 38.9279291931031
CN07-121 38.0700148270788
CN07-184 37.6174988842408
CN07-154 39.6381798432293
CN07-161 37.9303330812387
CN07-167 37.5732733738998
CN07-179 40.2424892053694
CN07-186 40.1762970208834
CN08-022 38.5228241145173
CN08-048 38.8786632214936
CN08-028 38.7560853518608
CN08-061 41.1467203370647
CN08-062 41.7387334259891
CN08-086 37.7269838105821
CN08-029 32.9318685584584
CN08-031 32.9831679376268
CN08-058 32.3805847440225
CN08-065 39.1793329637036
CN08-066 39.0836499931233
CN08-083 36.1138161373417
CN08-091 35.9715381642524
CN08-116 38.3669442032971
CN08-030 39.1397461045402
CN08-054 38.6893310784811
CN08-081 35.7923706671498
CN08-112 38.7347535974332
CN08-117 39.2121553667984
CN08-118 39.063955824119
CN09-020 41.5313507563015
CN09-029 38.8680191775747
CN09-065 39.1834885655297
CN09-066 39.47603127292
CN09-067 39.2366824979125
CN09-109 39.0405822432103
CN08-033 38.367919661886
CN08-034 32.6855119684884
CN08-113 38.4842374013464
CN08-035 37.4809419540235
CN08-059 33.7677879658353
CN08-060 33.0060494346313
CN08-093 35.4939123615569
CN08-036 38.7778011964837
CN08-047 36.6626829940714
CN08-077 35.3548788031799
CN08-039 40.5538027257784
CN08-041 35.7850372963974
CN08-045 39.185953041322
CN08-049 34.5390028061142
CN08-071 33.3081561498162
CN08-051 38.3274074548572
CN08-052 39.2141908411081
CN08-053 41.0815781146088
CN08-079 37.3593065625355
CN08-055 39.3797637320901
CN08-107 37.8280264987934
CN08-108 38.2227706508545
CN08-056 39.4160779351709
CN08-082 39.9535273786754
CN08-090 36.9205089481892
CN08-063 34.8690293288228
CN08-085 38.1273145325875
CN08-087 38.0965526703819
CN08-115 39.3987946329275
CN09-025 42.6000728629001
CN09-026 39.6510186546075
CN09-056 38.4299050601012
CN09-059 33.1100839963045
CN09-060 38.9785232431069
CN09-114 36.675480372025
CN09-115 34.0289547688185
CN09-120 37.9821273300813
CN08-064 35.2696714901758
CN08-088 37.9191489688147
CN08-067 38.8764936453215
CN08-069 36.1467007187817
CN09-046 39.8529934124392
CN09-087 38.6188339839789
CN09-088 43.9019245093911
CN09-089 38.9713514467013
CN09-128 38.1052606223401
CN08-073 36.275826551523
CN08-100 37.8740638743995
CN08-075 38.0447928402229
CN08-076 36.5351980774362
CN08-078 40.5440376526721
CN08-102 38.1251879586293
CN09-079 33.702268757803
CN09-130 38.379669702947
CN10-059 38.4107678183571
CN10-060 38.5255370372088
CN08-092 34.6000634146896
CN09-024 39.1276309775316
CN09-048 37.9489202031012
CN09-068 32.4846038029924
CN09-110 40.3084343445191
CN10-093 38.4321817801077
CN08-094 38.022987091943
CN08-095 40.5552959076297
CN08-103 37.996807123997
CN08-104 37.6436637424369
CN08-109 39.0854864851953
CN09-006 39.272821140444
CN09-010 39.2018019893074
CN09-011 42.2393179757566
CN09-063 34.7341479625409
CN09-064 38.8763102903054
CN09-136 38.1343664783182
CN09-142 38.3459535490742
CN09-014 43.2436665754198
CN09-015 40.2726731753959
CN09-042 38.4606201074129
CN09-044 39.3711731179294
CN09-083 36.610637485439
CN09-099 38.9181367176731
CN09-124 37.8013164806251
CN09-016 39.0301312919065
CN09-043 39.7776438077775
CN09-069 39.5871292756993
CN09-132 38.6160529962607
CN09-133 38.8971681085188
CN09-017 39.2155130397597
CN09-018 39.2644939376696
CN09-031 38.9041368876715
CN09-032 38.1312961174173
CN09-075 41.306666407405
CN09-076 38.6578662522673
