RUN	Id	Dam	Sire
1	1	0	0
1	2	0	0
1	3	0	0
1	4	0	0
1	5	0	0
1	6	0	0
1	7	0	0
1	8	0	0
1	9	0	0
1	10	0	0
1	11	0	0
1	12	0	0
1	13	0	0
1	14	0	0
1	15	0	0
1	16	0	0
1	17	0	0
1	18	0	0
1	19	0	0
1	20	0	0
1	21	0	0
1	22	0	0
1	23	0	0
1	24	0	0
1	25	0	0
1	26	0	0
1	27	0	0
1	28	0	0
1	29	0	0
1	30	0	0
1	31	0	0
1	32	0	0
1	33	0	0
1	34	0	0
1	35	0	0
1	36	0	0
1	37	0	0
1	38	0	0
1	39	0	0
1	40	0	0
1	41	0	0
1	42	0	0
1	43	0	0
1	44	0	0
1	45	0	0
1	46	0	0
1	47	0	0
1	48	0	0
1	49	0	0
1	50	0	0
1	51	0	0
1	52	0	0
1	53	0	0
1	54	0	0
1	55	0	0
1	56	0	0
1	57	0	0
1	58	0	0
1	59	0	0
1	60	0	0
1	61	0	0
1	62	0	0
1	63	0	0
1	64	0	0
1	65	33	8
1	66	42	12
1	67	34	18
1	68	54	11
1	69	36	18
1	70	24	7
1	71	27	8
1	72	37	15
1	73	25	13
1	74	42	14
1	75	52	2
1	76	23	6
1	77	30	8
1	78	39	4
1	79	44	10
1	80	22	3
1	81	46	8
1	82	24	16
1	83	56	14
1	84	27	15
1	85	29	8
1	86	32	19
1	87	34	10
1	88	40	20
1	89	62	20
1	90	58	16
1	91	47	5
1	92	60	15
1	93	53	4
1	94	33	6
1	95	32	11
1	96	41	13
1	97	44	6
1	98	27	18
1	99	56	20
1	100	62	2
1	101	46	5
1	102	58	12
1	103	30	11
1	104	40	2
1	105	26	16
1	106	52	18
1	107	43	19
1	108	23	14
1	109	62	10
1	110	40	5
1	111	48	14
1	112	34	19
1	113	32	11
1	114	32	20
1	115	22	5
1	116	28	5
1	117	45	15
1	118	53	14
1	119	46	13
1	120	49	7
1	121	64	7
1	122	23	14
1	123	50	11
1	124	64	15
1	125	25	11
1	126	64	15
1	127	40	11
1	128	23	1
1	129	29	18
1	130	30	13
1	131	43	10
1	132	49	18
1	133	31	9
1	134	57	10
1	135	21	9
1	136	64	16
1	137	53	3
1	138	53	12
1	139	49	7
1	140	37	5
1	141	45	4
1	142	40	2
1	143	39	18
1	144	64	14
1	145	45	4
1	146	48	20
1	147	55	20
1	148	51	13
1	149	26	1
1	150	25	16
1	151	33	13
1	152	53	18
1	153	61	6
1	154	61	8
1	155	30	1
1	156	41	14
1	157	59	14
1	158	22	13
1	159	63	19
1	160	60	4
1	161	24	1
1	162	64	17
1	163	62	17
1	164	53	17
1	165	55	18
1	166	46	19
1	167	50	15
1	168	32	4
1	169	49	8
1	170	26	12
1	171	21	7
1	172	53	16
1	173	22	18
1	174	60	20
1	175	42	5
1	176	62	2
1	177	39	7
1	178	64	17
1	179	28	12
1	180	22	16
1	181	34	13
1	182	43	16
1	183	23	2
1	184	145	81
1	185	128	66
1	186	150	78
1	187	181	81
1	188	181	85
1	189	176	81
1	190	151	107
1	191	46	83
1	192	147	83
1	193	176	14
1	194	34	107
1	195	138	103
1	196	144	78
1	197	128	107
1	198	141	81
1	199	145	79
1	200	139	14
1	201	146	107
1	202	151	65
1	203	141	83
1	204	138	78
1	205	170	103
1	206	162	71
1	207	144	83
1	208	183	96
1	209	46	78
1	210	170	107
1	211	167	79
1	212	170	14
1	213	36	79
1	214	179	71
1	215	46	71
1	216	181	14
1	217	150	71
1	218	162	85
1	219	46	85
1	220	146	14
1	221	37	96
1	222	141	71
1	223	139	103
1	224	151	81
1	225	138	85
1	226	147	78
1	227	133	83
1	228	162	107
1	229	128	96
1	230	21	103
1	231	170	1
1	232	133	78
1	233	179	71
1	234	181	65
1	235	34	78
1	236	147	103
1	237	155	83
1	238	176	83
1	239	130	14
1	240	183	1
1	241	144	81
1	242	133	1
1	243	34	66
1	244	170	83
1	245	47	78
1	246	47	107
1	247	132	78
1	248	179	14
1	249	141	107
1	250	147	66
1	251	155	1
1	252	133	81
1	253	167	83
1	254	141	78
1	255	147	71
1	256	34	71
1	257	170	71
1	258	146	78
1	259	132	107
1	260	133	14
1	261	151	81
1	262	133	85
1	263	21	78
1	264	163	85
1	265	46	79
1	266	151	66
1	267	145	65
1	268	21	96
1	269	130	85
1	270	144	14
1	271	145	103
1	272	46	83
1	273	132	83
1	274	138	96
1	275	34	96
1	276	128	71
1	277	146	71
1	278	21	107
1	279	37	85
1	280	143	14
1	281	36	1
1	282	36	79
1	283	37	85
1	284	147	96
1	285	155	14
1	286	170	65
1	287	145	107
1	288	163	71
1	289	143	66
1	290	34	107
1	291	128	103
1	292	146	96
1	293	150	78
1	294	130	71
1	295	130	85
1	296	170	66
1	297	132	79
1	298	147	103
1	299	46	14
1	300	170	81
1	301	162	96
1	302	128	78
1	303	133	85
1	304	146	103
1	305	183	65
1	306	146	83
1	307	151	107
1	308	34	65
1	309	151	79
1	310	21	78
1	311	282	193
1	312	256	187
1	313	271	187
1	314	256	221
1	315	274	234
1	316	305	191
1	317	303	187
1	318	271	187
1	319	252	193
1	320	21	1
1	321	278	187
1	322	256	184
1	323	278	202
1	324	268	202
1	325	254	202
1	326	21	184
1	327	272	191
1	328	273	231
1	329	292	202
1	330	256	211
1	331	294	187
1	332	272	249
1	333	143	187
1	334	21	187
1	335	263	221
1	336	143	249
1	337	289	212
1	338	302	212
1	339	305	249
1	340	263	202
1	341	294	191
1	342	305	211
1	343	310	193
1	344	267	249
1	345	296	249
1	346	259	187
1	347	282	249
1	348	305	184
1	349	303	187
1	350	143	187
1	351	303	221
1	352	266	202
1	353	289	249
1	354	167	249
1	355	274	249
1	356	266	193
1	357	266	193
1	358	299	187
1	359	299	187
1	360	256	212
1	361	273	187
1	362	254	202
1	363	267	212
1	364	310	249
1	365	252	187
1	366	256	187
1	367	292	193
1	368	299	187
1	369	274	191
1	370	266	212
1	371	296	249
1	372	21	199
1	373	268	202
1	374	263	187
1	375	263	221
1	376	303	202
1	377	277	193
1	378	21	212
1	379	303	184
1	380	310	249
1	381	267	187
1	382	282	1
1	383	256	202
1	384	296	234
1	385	299	1
1	386	263	234
1	387	259	212
1	388	378	341
1	389	363	321
1	390	363	358
1	391	370	321
1	392	360	1
1	393	372	358
1	394	21	358
1	395	361	353
1	396	371	354
1	397	363	353
1	398	370	330
1	399	383	311
1	400	363	341
1	401	381	341
1	402	377	358
1	403	361	354
1	404	360	1
1	405	370	354
1	406	387	1
1	407	21	321
1	408	386	330
1	409	387	353
1	410	363	354
1	411	363	330
1	412	21	358
1	413	369	338
1	414	361	358
1	415	378	1
1	416	361	321
1	417	378	338
1	418	375	321
1	419	21	354
1	420	383	354
1	421	381	358
1	422	367	341
1	423	383	341
1	424	361	321
1	425	378	341
1	426	370	341
1	427	361	341
1	428	375	341
1	429	380	321
1	430	360	358
1	431	377	354
1	432	370	341
1	433	384	338
1	434	361	353
1	435	371	311
1	436	381	353
1	437	384	358
1	438	361	341
1	439	380	1
1	440	384	321
1	441	361	1
1	442	360	354
1	443	370	341
1	444	377	330
1	445	21	321
1	446	370	353
1	447	378	341
1	448	367	353
1	449	380	341
1	450	381	353
1	451	21	321
1	452	367	353
1	453	381	330
1	454	384	341
1	455	369	341
1	456	361	358
1	457	360	338
1	458	370	311
1	459	381	330
1	460	371	354
1	461	384	338
1	462	21	321
1	463	383	353
1	464	361	321
1	465	384	341
1	466	363	330
1	467	360	354
1	468	378	341
1	469	377	321
1	470	378	330
1	471	377	358
1	472	381	358
1	473	377	358
1	474	372	311
1	475	367	358
1	476	364	358
1	477	363	338
1	478	367	321
1	479	371	358
1	480	378	353
1	481	383	338
1	482	369	353
1	483	380	1
1	484	386	311
1	485	21	338
1	486	360	311
1	487	367	354
1	488	384	353
1	489	371	341
1	490	367	311
1	491	367	358
1	492	360	354
1	493	360	321
1	494	364	358
1	495	378	358
1	496	21	341
1	497	372	341
1	498	364	311
1	499	387	338
1	500	380	354
1	501	383	353
1	502	370	330
1	503	360	354
1	504	367	1
1	505	457	388
1	506	481	416
1	507	502	416
1	508	502	396
1	509	467	441
1	510	469	440
1	511	464	416
1	512	445	388
1	513	367	388
1	514	469	391
1	515	445	442
1	516	465	441
1	517	444	442
1	518	502	416
1	519	449	416
1	520	21	388
1	521	490	1
1	522	445	442
1	523	464	416
1	524	21	442
1	525	464	442
1	526	446	388
1	527	503	416
1	528	503	391
1	529	446	416
1	530	367	400
1	531	446	396
1	532	445	416
1	533	444	442
1	534	380	1
1	535	495	416
1	536	486	396
1	537	489	396
1	538	21	441
1	539	444	416
1	540	367	391
1	541	457	400
1	542	444	441
1	543	457	441
1	544	502	391
1	545	465	398
1	546	487	391
1	547	444	396
1	548	500	441
1	549	449	391
1	550	21	442
1	551	486	441
1	552	367	391
1	553	477	442
1	554	503	416
1	555	503	396
1	556	500	440
1	557	486	1
1	558	21	442
1	559	496	440
1	560	465	441
1	561	487	398
1	562	21	398
1	563	446	400
1	564	489	522
1	565	548	533
1	566	536	509
1	567	539	509
1	568	558	533
1	569	551	513
1	570	551	1
1	571	540	533
1	572	536	1
1	573	551	513
1	574	547	509
1	575	537	1
1	576	543	533
1	577	21	509
1	578	547	509
1	579	548	504
1	580	537	533
1	581	537	513
1	582	548	533
1	583	582	1
1	584	21	566
1	585	580	564
1	586	577	564
1	587	579	566
1	588	580	1
1	589	579	1
1	590	580	566
1	591	579	566
1	592	580	566
1	593	582	566
1	594	581	566
1	595	580	1
1	596	580	566
1	597	580	566
1	598	581	564
1	599	577	566
1	600	582	566
1	601	577	566
1	602	21	1
1	603	577	1
1	604	21	564
1	605	582	1
1	606	582	1
1	607	580	566
1	608	581	1
1	609	581	566
1	610	579	566
1	611	579	564
1	612	581	1
1	613	577	566
1	614	582	1
1	615	577	566
1	616	580	566
1	617	609	583
1	618	610	584
1	619	599	583
1	620	597	584
1	621	599	584
1	622	612	583
1	623	21	584
1	624	21	583
1	625	599	583
1	626	612	583
1	627	599	583
1	628	599	584
1	629	21	584
1	630	599	584
1	631	610	583
1	632	581	584
1	633	597	583
1	634	609	584
1	635	610	584
1	636	599	584
1	637	612	583
1	638	599	584
1	639	597	584
1	640	609	584
1	641	581	584
1	642	612	583
1	643	609	583
1	644	599	584
1	645	21	584
1	646	597	584
1	647	612	584
1	648	599	584
1	649	597	584
1	650	612	584
1	651	609	583
1	652	610	583
1	653	612	583
1	654	597	583
1	655	597	583
1	656	612	584
1	657	599	583
1	658	609	584
1	659	610	584
1	660	610	583
1	661	599	584
1	662	612	584
1	663	21	584
1	664	609	584
1	665	599	584
1	666	612	583
1	667	599	584
1	668	581	583
1	669	599	584
1	670	609	583
1	671	612	584
1	672	597	584
1	673	599	584
1	674	597	583
1	675	599	584
1	676	581	584
1	677	609	584
1	678	599	583
1	679	609	584
1	680	599	584
1	681	599	583
1	682	21	583
1	683	609	583
1	684	599	584
1	685	612	584
1	686	610	583
1	687	581	584
1	688	612	583
1	689	599	583
1	690	609	583
1	691	581	583
1	692	597	583
1	693	658	649
1	694	670	621
1	695	673	655
1	696	667	618
1	697	666	655
1	698	673	621
1	699	667	618
1	700	665	618
1	701	679	649
1	702	679	618
1	703	678	621
1	704	689	621
1	705	675	649
1	706	679	655
1	707	659	639
1	708	689	646
1	709	658	617
1	710	667	655
1	711	689	649
1	712	678	655
1	713	685	655
1	714	667	639
1	715	672	649
1	716	672	646
1	717	672	649
1	718	681	646
1	719	685	646
1	720	676	655
1	721	681	617
1	722	675	649
1	723	665	655
1	724	658	646
1	725	675	649
1	726	667	646
1	727	675	639
1	728	663	649
1	729	681	618
1	730	673	618
1	731	685	621
1	732	685	649
1	733	676	639
1	734	672	617
1	735	672	649
1	736	667	649
1	737	663	621
1	738	666	655
1	739	679	621
1	740	663	621
1	741	666	639
1	742	689	639
1	743	672	649
1	744	670	646
1	745	678	655
1	746	678	639
1	747	663	621
1	748	675	655
1	749	659	621
1	750	679	646
1	751	672	655
1	752	667	618
1	753	675	649
1	754	678	639
1	755	670	649
1	756	663	639
1	757	681	649
1	758	666	649
1	759	681	646
1	760	658	646
1	761	678	646
1	762	667	617
1	763	665	646
1	764	665	646
1	765	678	646
1	766	676	646
1	767	672	649
1	768	675	639
1	769	675	618
1	770	685	639
1	771	750	703
1	772	673	723
1	773	739	728
1	774	742	723
1	775	751	698
1	776	739	698
1	777	739	725
1	778	751	698
1	779	730	723
1	780	769	703
1	781	742	698
1	782	730	698
1	783	759	725
1	784	754	728
1	785	730	728
1	786	745	728
1	787	739	725
1	788	759	698
1	789	759	723
1	790	751	617
1	791	658	693
1	792	739	698
1	793	745	703
1	794	754	703
1	795	751	703
1	796	754	725
1	797	742	698
1	798	733	617
1	799	734	693
1	800	750	617
1	801	754	723
1	802	759	725
1	803	745	728
1	804	750	617
1	805	751	703
1	806	673	703
1	807	658	725
1	808	751	693
1	809	759	725
1	810	759	698
1	811	730	698
1	812	734	723
1	813	739	698
1	814	751	728
1	815	739	728
1	816	673	698
1	817	734	693
1	818	658	703
1	819	730	723
1	820	739	725
1	821	751	698
1	822	769	725
1	823	754	723
1	824	730	617
1	825	750	703
1	826	734	725
1	827	742	725
1	828	739	617
1	829	739	725
1	830	810	785
1	831	810	779
1	832	810	787
1	833	815	779
1	834	828	775
1	835	730	617
1	836	809	779
1	837	803	787
1	838	804	785
1	839	815	787
1	840	804	787
1	841	803	775
1	842	804	775
1	843	821	785
1	844	809	779
1	845	730	775
1	846	733	785
1	847	809	775
1	848	658	787
1	849	815	785
1	850	809	787
1	851	821	787
1	852	803	785
1	853	815	787
1	854	809	617
1	855	828	617
1	856	801	779
1	857	813	779
1	858	803	779
1	859	813	785
1	860	810	785
1	861	730	785
1	862	821	787
1	863	801	787
1	864	804	785
1	865	823	775
1	866	815	785
1	867	821	785
1	868	733	775
1	869	801	785
1	870	813	787
1	871	804	771
1	872	801	617
1	873	828	785
1	874	800	787
1	875	821	779
1	876	823	617
1	877	821	779
1	878	813	787
1	879	800	775
1	880	730	771
1	881	809	785
1	882	815	771
1	883	813	785
1	884	823	787
1	885	800	617
1	886	815	785
1	887	801	775
1	888	804	785
1	889	804	771
1	890	813	771
1	891	803	617
1	892	804	787
2	1	0	0
2	2	0	0
2	3	0	0
2	4	0	0
2	5	0	0
2	6	0	0
2	7	0	0
